date,rocket_name,launch_site,payload_mass,satellite_name,outcome,launch_year,launch_month,rocket_success_rate,launch_site_risk,orbit_GEO,orbit_LEO,orbit_LEo,orbit_MEO,payload_category_Light,payload_category_Medium
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5193 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5194 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5195 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2023-01-19,Falcon 9,Vandenberg AFB,290.0,Starlink-5196                ,1,2023,1,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5197 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5198 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5199 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5200 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5201 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-12-17,Falcon 9,Cape Canaveral,260.0,Starlink-5202 ,1,2022,12,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5203 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5204 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5205 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5209 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5210 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5211 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5212 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5213 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-12-17,Falcon 9,Cape Canaveral,260.0,Starlink-5214 ,0,2022,12,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-12-17,Falcon 9,Cape Canaveral,260.0,Starlink-5215 ,1,2022,12,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5217 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2023-02-17,Falcon 9,Vandenberg AFB,290.0,Starlink-5218                ,1,2023,2,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5219 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-12-17,Falcon 9,Cape Canaveral,260.0,Starlink-5220 ,1,2022,12,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5221 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5222 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5223 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2023-01-31,Falcon 9,Vandenberg AFB,290.0,Starlink-5224                ,1,2023,1,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5225 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-20,Falcon 9,Cape Canaveral,260.0,Starlink-5226 ,1,2022,10,0.8981187909532868,0.8981278871869681,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5227 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5228 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5229 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2023-01-31,Falcon 9,Vandenberg AFB,290.0,Starlink-5230                ,0,2023,1,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5231 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2023-02-17,Falcon 9,Vandenberg AFB,290.0,Starlink-5232                ,1,2023,2,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5233 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5234 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5235 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2023-01-19,Falcon 9,Vandenberg AFB,290.0,Starlink-5236                ,1,2023,1,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5237 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5238 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5239 ,0,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5240 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5241 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5242 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5243 ,0,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5244 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5245 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5246 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5247 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5248 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5249 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5250 ,1,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
2022-10-28,Falcon 9,Vandenberg AFB,260.0,Starlink-5255 ,0,2022,10,0.8981187909532868,0.9079229122055674,False,True,False,False,True,False
